,name,followers_count,total_number_of_tweets,location,language,tweet_count
837,💎💎💎,328.0,34059,Россия,en,3
838,✨💙💚Andrew 💚💙✨,227.0,8227,"Iowa, USA",en,3
839,Denise J. O.,3113.0,168611,Canada,en,3
840,Seluna M 🌙,5235.0,63656,México Tenochtitlan,es,3
841,"Rebecca Lam, PharmD",24767.0,88082,GeeksResist HQ,en,3
842,Roxanne Ma,70.0,80,"Toronto, Ontario",en,3
843,..just listen,102.0,3412,"Seattle, WA",en,3
844,YT☆,1203.0,48223,"Stay 622, Stay JYH",en,3
845,Erika Sanzi,3007.0,49447,"Cumberland, RI",en,3
846,Tamara Cofman Wittes,28304.0,87940,DC,en,3
847,Sandeep Mukherjee,636.0,25874,"Kolkata, India (Calcutta)",en,3
848,Dr. Don C Kean D.M.D,3772.0,27252,Louisville Ky,en,3
849,Sid Nokes,231.0,625,Bromsgrove,en,3
850,Leo Tha Last 🇺🇸,97.0,3255,"Bedford Stuyvesant, Brooklyn",en,3
851,Fly Nubian King(Negus)🦂👑💪🏿🖤,58.0,4575,#THisIsTEXAS,en,3
852,Rabbi David Mivasair 🔥,5066.0,53612,"Hamilton, Ontario",en,3
853,(((Gump))),1231.0,99550,"Chicago, IL",en,3
854,padre,39.0,221,Minnesota,en,3
855,V,132.0,13458,"Chennai, India",en,3
856,prayer911@aol.com,1096.0,203073,"Hempstead, NY 11550",en,3
857,Rcal,185.0,65785,"California, USA",en,3
858,geld geld geld geld geld geld geld geld,163.0,16798,38 steps to the right + 2 back,en,3
859,🇺🇸 🐸❌Kimberley Krzyzewski❌🐇 🇺🇸,8769.0,82682,"West Henrietta, NY",en,3
860,Melanated Bearded Ken Doll,686.0,58591,IG:johanbravo1 👻:johnnyrose_1,en,3
861,Lgbtally,53.0,1308,"Nova Scotia, Canada",en,3
862,DP,80.0,9964,"New York, NY",en,3
863,FansnStars↩,1080.0,179965,United Kingdom,en,3
864,Meredith K,980.0,35924,"Washington, DC",en,3
865,Justin,2224.0,38198,Bay Area,en,3
866,dhiman_saab,202.0,115224,india,en,3
867,Satan@TheVoiceOfDevil,29.0,36,Everywhere,en,3
868,AARP Youth League President (aka Chad),3919.0,176702,"Washington, DC",en,3
869,Homobyte,4363.0,854,NYC,en,3
870,TommyTalksPa,694.0,1089,"Pennsylvania, USA",en,3
871,GamerG!!,301.0,29266,The Good Ole East Coast,en,3
872,"𝑷𝒊𝒓𝒓𝒂𝒔𝒔𝒂, 𝑹𝒐𝒎𝒂𝒐 - 𝑴𝒂𝒍𝒂𝒍𝒂 #IDWP",1686.0,123468,"Brasília, Brasil",en,3
873,รɦαɦƶεɓ αℓѵเ,1229.0,230559,"ʀᵒᵒʳᵏᵉᵉ, ɪⁿᵈⁱᵃ",en,3
874,Eugene M. Holdcroft,297.0,12912,"Forest Hills, NY",en,3
875,MICHAEL ORTIZ,320.0,17424,"Taos, NM",en,3
876,Daddy's Angel,48.0,970,"Missouri, USA",en,3
877,KittynPitty,2298.0,36296,Spytown,en,3
878,#CIimateBarbie,6304.0,23730,Socialist Republic Albertastan,en,3
879,Jay Truth,292.0,9322,"Richmond,VA",en,3
880,Old Bags for Hillary,8.0,2749,San Francisco California,en,3
881,Sharmila Gharpure,1605.0,53062,Mumbai,en,3
882,Separation,184.0,19882,helpingbuildHeavenonEarth,en,3
883,blackboylogic,65.0,865,"California, USA",en,3
884,Alison,280.0,3907,"England, United Kingdom",en,3
885,Kamal Koirala,227.0,815,"Itahari, Sunsari, Nepal",en,3
886,Suchitra Vijayan,12195.0,27860,New York / Kabul / Madras,en,3
887,Alicia Lewis,1099.0,5628,Indomitable City,en,3
888,Sharmila 🌻,336.0,12256,Malaysia,en,3
889,R Joseph,24476.0,170275,Hawaii,en,3
890,Greg Jenkins,27493.0,177155,"St Robert, MO",en,3
891,Angel †,2356.0,319812,Australia 🇦🇺🌴🌸🐚🦋,en,3
892,june e. francis,219.0,9017,Jamaica,en,3
893,Christophe DEMAY,3131.0,74747,Breizh Bretagne,fr,3
894,Achinth Gurkhi,552.0,204939,"Bengaluru South, India",en,3
895,Dr Boyce Watkins,94698.0,266817,"Chicago, IL",en,3
896,Kyla Paterson,215.0,888,"Iowa City, IA",en,3
897,tyfficult✌🏽,345.0,9215,the land of cool.,en,3
898,clay garvey,398.0,13137,"Atlanta, GA",en,3
899,LexStart,323.0,1251,India,en,3
900,DAP/DOS TRIBE🇺🇸,297.0,9785,Southern California,en,3
901,東方神起 Prepare To Fire,7990.0,136711,[on-hiatus],en,3
902,Natalie,1771.0,338432,Singapore,en,3
903,sy:bɪlə ki:lb,42.0,256,"Nuremberg, Bavaria | The 🌍",en,3
904,Biggie Corg,5.0,60,"Toronto, Ontario",en,3
905,DoctorForJustice,6261.0,110501,"Los Angeles, CA",en,3
906,Mike Austin,379.0,16889,"Moscow, Russia",en,3
907,Hrvoje Grahovac,37.0,4625,"Zagreb, Croatia",en,3
908,Vashti Q,16764.0,151180,Sunny Florida,en,3
909,Fred and Mary Storm,4613.0,20918,"Ohio, USA",en,3
910,Rajendra,10.0,239,"Navi Mumbai, India",en,3
911,The pres5,1546.0,76603,United States,en,3
912,ET Panache,29803.0,52012,"New Delhi, India",en,3
913,Marie,496.0,24451,"I c not 1whiteRibbon,but many.",en,3
914,Chowkidar Bala krishna,56.0,765,"tamilnadu,india",en,3
915,Kisha Michelle,433.0,13214,Heaven...,en,3
916,jamie-a,64.0,6161,Darug Country (Western Sydney),en,3
917,Evan Traylor,1851.0,17015,"Washington, DC",en,3
918,Nomad!,435.0,17008,"California, USA",en,3
919,Kristina Minyard,4268.0,18688,"Huntsville, AL",en,3
920,FilmEssaying,1553.0,130550,"Tokyo-to, Japan",en,3
921,starry #LiveYourDreams,647.0,21105,"Exeter, MO",en,3
922,S.CarrGuchi,328.0,3532,"Mason,Mi.",en,3
923,Rob McCargow,11483.0,20939,🇪🇺,en,3
924,Angry💜Nana,262.0,33761,Oregonian,en,3
925,Arctic Nomad❄,149.0,999,Fargo and Minneapolis,en,3
926,Oliver,1832.0,83477,New Mexico,en,3
927,Janet Dailey,2009.0,40403,Philly,en,3
928,James Landrith,2695.0,12759,"Alexandria, VA, USA",en,3
929,Bev Friesen,15019.0,57559,"British Columbia, Canada",en,3
930,Sarah Ann Masse,3221.0,12211,LA & NYC,en,3
931,Ros,68.0,366,"England, United Kingdom",en,3
932,LGBT+ News,2024.0,33821,"Denver, CO",en,3
933,ika,69.0,6914,"مكة المكرمة, المملكة العربية ا",en,3
934,McLNeuro,13058.0,39416,NashVegas!,en,3
935,Anika Mashru,135.0,2533,"London, UK",en,3
936,Black Wolverine 🍻,58.0,5535,United States,en,3
937,🌵AmericasWiseGuy🌵,475.0,2421,United States,en,3
938,Omni #IStandWithVic,286.0,1194,Risembool,en,3
939,Belinda O.,1086.0,98228,"Philadelphia, Pa",en,3
940,AboveTheBurgh Fire at will Commander,3350.0,19523,"Pittsburgh, PA",en,3
941,Verónica Calderón,22545.0,174264,Ciudad de México / En el aire,es,3
942,wongn,843.0,63390,Canada,en,3
943,CarolinaPublicPress,4143.0,5108,"North Carolina, USA",en,3
944,BringTheRain,2213.0,1339,"Montana, USA",en,3
945,Dora ⚤🇩🇴 || Natasha's red hair & blonde balayage,258.0,26888,"Queens, NY",en,3
946,abstractjwl,300.0,17508,"Pa, in the valley",en,3
947,Coll. Droits Femmes,9035.0,7315,"Ile-de-France, France",fr,3
948,Siobhan Walder,85.0,595,"England, United Kingdom",en,3
949,LawCultureHumanities,557.0,246,USA,en,3
950,Ann Fehilly,41.0,786,"Glasgow, Scotland",en,3
951,Girls for Gender Equity (GGE),9537.0,9593,New York,en,3
952,c,16.0,1950,America,en,3
953,Marie Benard,42638.0,51594,"Vancouver, BC, Canada",en,3
954,Rob Caswell,2047.0,26236,"Calgary, Alberta, Canada",en,3
955,All American Tweetie Pie,18959.0,120041,"Massachusetts, USA",en,3
956,Jenna Gibson,1449.0,7373,"Chicago, IL",en,3
957,Life Inside The Electric Circus,4448.0,170404,Colonized Lenape Territory,en,3
958,Workforcenews,22705.0,23230,"Chicago, Ilinois",en,3
959,victoria,240.0,12159,"nashville, tn.",en,3
960,Trend Setter,26.0,1119,India,en,3
961,Amanda Logan,411.0,31328,"the Swamp, GA",en,3
962,Grassroots DNC,2521.0,83886,United States,en,3
963,Carl R Olson,146.0,8863,'Merica!,en,3
964,Jan Romes,70371.0,842423,Ohio,en,3
965,Robert S Wells,186.0,1106,"South East, England",en,3
966,JayinWA,8169.0,28604,Up to my neck in liberals.,en,3
967,Stephenson Holt,1190.0,4981,"UK, Skopelos, Bergerac.",en,3
968,So Happy In Town,2242.0,17292,"London, England",en,3
969,benson karras,140.0,3551,"Bocas del Toro, Panama",en,3
970,💚Unconditional Love💚 be kind to each other,1510.0,47037,"San Francisco, CA",en,3
971,See That Again,278.0,8634,#TakeAKnee,en,3
972,Lisa Diaz Meyer,19745.0,143980,"Long Island, New York",en,3
973,Mr T 2,16385.0,122042,Colorado,en,3
974,BlueX91_🇺🇸,31.0,10342,"Spring Branch West, Houston",en,3
975,PIC44,511.0,81623,“Universal Presence.”,en,3
976,Toni🐶🐱D's are in the House!,3556.0,19269,California,en,3
977,William Harrison,235.0,25101,"Maine, USA",en,3
978,Lynne Donabedian 🇺🇸,493.0,7808,"Rhode Island, USA",en,3
979,Negro Mis-Education Camp Fugitive,2495.0,8786,Earth,en,3
980,LadyParts Collective,169.0,656,"Los Angeles, CA",en,3
981,Penni Kernot,6515.0,84042,"Ontario, Canada",en,3
982,Hannah Carlson,3055.0,23557,ICT-SYD-ICT-GFK,en,3
983,🛡️ Loki ⚔️,23.0,436,Destiny Islands,en,3
984,Catfish Joe,10261.0,18530,"Tupelo, MS",en,3
985,IG @TheJoeBraxton,3969.0,111425,"ÜT: 38.975121,-76.888847",en,3
986,Charlene Marie Coran,546.0,3624,"Harrison, AR",en,3
987,Anthe Rhodes-Liuzzo,1253.0,57375,"Birmingham, AL",en,3
988,Bishop Arts Theatre,1093.0,4898,"Dallas, Texas",en,3
989,King Louis,4921.0,23739,"San Jose, California",en,3
990,Daniel P. Aldrich,4957.0,29741,"Boston, MA",en,3
991,Meredith Counseling Center/Disability Services,26.0,155,"Raleigh, NC",en,3
992,Robin Hamm,99.0,3401,Denver Colorado,en,3
993,Book Promotion,57867.0,303951,"Here, There and Everywhere",en,3
994,TJ Saggu,589.0,26268,"Toronto, Ontario",en,3
995,Heidi Stevens,10196.0,18772,Chicago,en,3
996,Health&Education4Goa,508.0,132554,"Goa, India",en,3
997,kucheli Dibal,35.0,581,Nigeria,en,3
998,Penny M,5672.0,309646,Santa Cruz County CA,en,3
999,Chris Eller 🎶,684.0,51111,he/his,en,3
1000,the Real 🤣 LouDeSalvio,1015.0,12707,"Las Vegas, Nevada",en,3
1001,La Shón P,560.0,29905,Earth,en,3
1002,Bhaskaran Mahesh,69.0,2139,"Chennai, India",en,3
1003,Blavity News,205379.0,85923,"Los Angeles, CA",en,3
1004,DefiantOne,221.0,12802,"Little Rock, AR",en,3
1005,Sam.,2844.0,16000,"Nairobi, Kenya",en,3
1006,Sophia Elaine Hanson,2112.0,24591,Trench,en,3
1007,Sachiko Ishikawa🏳️‍🌈,1172.0,10268,日本 東京,en,3
1008,Make Memphis!,3740.0,6591,"Memphis, Tennessee",en,3
1009,The Good Men Project,191490.0,193521,Global,en,3
1010,Samuel D'costa╰☆╮,9634.0,25697,Parallel Universe,en,3
1011,Brianna Michelle,95.0,1245,"St. Paul, MN",en,3
1012,Chef Du Journey,18.0,2729,Midwest USA,en,3
1013,Nick Kent Drums,389.0,3963,"London, Ontario",en,3
1014,Mike Gabinsky,425.0,3248,New York City,en,3
1015,Sharonne Hayes MD,7508.0,7494,"Rochester, MN",en,3
1016,Golden Tiger_mynation,265.0,4051,India,en,3
1017,Paul  Miller ♿,2817.0,130083,"Chicago, IL",en,3
1018,Betty Folliard,2067.0,11842,Minneapolis,en,3
1019,The Daily Caller,484464.0,267569,"Washington, DC",en,3
1020,🥤#معاك_يالجين,7.0,48,dan|27|halsey,en,3
1021,T.M.I. from T.I.M.,4521.0,118709,The Left Coast ,en,3
1022,Mayor__Franklin,49.0,543,Twitter,en,3
1023,BeYouSpa,1068.0,34282,"Rockville, Maryland",en,3
1024,shankar more,355.0,11157,"Mumbai, India",en,3
1025,elementarty,25.0,5141,United States,en,3
1026,Jess Bond,319.0,10982,Italy,en,3
1027,Emily P. Goodstein,2231.0,28190,"washington, dc",en,3
1028,NIRAJ KUMAR,224.0,35465,"Jehanabad, India",en,3
1029,🇮🇳Ghanshyam Dixit घनश्याम दीक्षित,2017.0,92022,Mathura/ Delhi/London,en,3
1030,Nicole Tricia,114.0,3694,Trinidad and Tobago,en,3
1031,Kapil Dhama,11581.0,18314,delhi,en,3
1032,Security Testing,24472.0,1335007,"Hyderabad, India",en,3
1033,Jennifer Perry,198.0,3831,northeast,en,3
1034,Sue Costello,3491.0,60026,#IamSueCostello,en,3
1035,Dil_E-NADAAN,127.0,6834,Ma baap ke ghar,en,3
1036,Wale Gates 🇳🇬🇬🇧,32355.0,237960,United Kingdom,en,3
1037,O.N.K.E,2091.0,19409,South Africa ,en,3
1038,ShivaM,52.0,11552,"Delhi, CA",en,3
1039,[GEOPOLITICS],34118.0,85785,News/Politics/Business/Tech,en,3
1040,Mahendra Kumar Raj,504.0,70302,"Mumbai, India",en,3
1041,CARE Action!,2769.0,7335,United States,en,3
1042,BerozGaar Mukesh,820.0,234087,"Sitamarhi, coimbatore,",en,3
1043,चौकीदार ही चोर है,1565.0,137397,delhi malviya nagar ,en,3
1044,Ashis Basu,2762.0,130751,Canada,en,3
1045,Asif Choudhary,891.0,92311,New Delhi ,en,3
1046,C Vikram Simhan,275.0,9399,New Delhi,en,3
1047,Naresh Naik,371.0,21689,Bhubaneswar,en,3
1048,James Toupin,8492.0,532721,"Edmonton, Alberta, Canada",en,3
1049,Miguel Guerra,2012.0,18098,Paris,en,3
1050,The Sentinel,4434.0,38726,"Guwahati, Assam",en,3
1051,Jules,37.0,1188,Paris 🇫🇷 / Los Angeles 🇺🇸,en,3
1052,momspresso.com,4967.0,62570,India,en,3
1053,Carla Greensmith,588.0,956,Xanadu,en,3
1054,Liora Hess,254.0,3034,"California, USA",en,3
1055,PulpNews Crime,4437.0,3061666,USA,en,3
1056,dj mito,139.0,1923,"Baltimore, Washington DC",en,3
1057,Tom Hadly,62.0,10779,Over here.,en,3
1058,nautilus6363,35.0,5903,Illinois or Fiji,en,3
1059,JD Supra,20868.0,102872,JDSupra.com,en,3
1060,Lanette,2183.0,382834,In my skin,en,3
1061,Robert Roefaro,682.0,234897,United States,en,3
1062,"Shawnee Love HHD,PhD",3224.0,43826,"Americas,Italy,Ireland,India",en,3
1063,Overdramatic bi-tch,266.0,18029,Taekook - #MJinnocent,en,3
1064,Marc⭐⭐⭐,33913.0,212034,"Long Island, Ny",en,3
1065,Joseph (((🇮🇱))) Levine,2389.0,57549,"Jerusalem, Israel ",en,3
1066,Rocketman46,2012.0,169649,"Chicago,IL",en,3
1067,Sue Leugers,1130.0,448849,"Ohio, USA",en,3
1068,Shriram yadav,83.0,5757,UJJAIN,en,3
1069,Unbridled Spirit ⭐⭐⭐,10419.0,134970,United States,en,3
1070,E Marie,43.0,429,"England, United Kingdom",en,3
1071,Indict Hillary ❌❌,49241.0,136103,CyberSpace,en,3
1072,Guys At Parties Like It,59.0,162,"Los Angeles, CA",en,3
1073,Anita Dodd,210.0,2410,"Calgary, Alberta",en,3
1074,J. Cafesin,4937.0,23325,"Bay Area, California",en,3
1075,Farah Amjad,171.0,1195,"New York, NY",en,3
1076,Rank & File Radio - Prairies,565.0,2561,"Treaty 1, Winnipeg, Manitoba",en,3
1077,Gemma McCall,966.0,4472,Manchester,en,3
1078,Kari,566.0,15199,Citizen of the world ❤️,en,3
1079,UNrealDonaldTrump,387.0,67626,Europe,en,3
1080,Vanessa #eranow,2157.0,193527,"Bethlehem, Pennsylvania",en,3
1081,Susan 🌊,2061.0,16613,"Northern California, USA",en,3
1082,π,268.0,17668,DeepVeer's heart,en,3
1083,#MaryCARR = ONLY I AM #CAFFREY,30.0,3493,I'VE BEEN&AM THE ONLY VICTIM,en,3
1084,MICU DARLING / NO SUCKZ,160.0,7962,"London, England",en,3
1085,Patricia Cortes,719.0,7090,New YORK,en,3
1086,this is better,91.0,5250,Spain,en,3
1087,Katie Mettner,16156.0,342603,Wisconsin,en,3
1088,Bollywood Reporter,4935.0,147869,"Mumbai, Maharashtra, India",en,3
1089,Harsh,2389.0,55138,India,en,3
1090,TheMadRush,136.0,20298,Dallas,en,3
1091,🕉 Namah Shivay 🙏,41.0,4954,Australia,en,3
1092,Adhiti,949.0,107167,Bahrain,en,3
1093,Stranger in a Strange Land,1572.0,7161,"Colorado, USA",en,3
1094,Michael O'Grady,30760.0,524503,CANADA,en,3
1095,Melissa Chemam,5312.0,59908,Barnet/Bristol/Barbès/Beyond,en,3
1096,CCinthemiddle 👮‍♀️💪🏻✈️🥩🥓🚘,5250.0,8897,United States of America 🇺🇸,en,3
1097,New Horizons,2097.0,4302,United Kingdom,en,3
1098,Debra Katz,1334.0,188,"Washington, DC",en,3
1099,Patrick Blanchfield,12882.0,51332,"Pennsylvania, USA",en,3
1100,billboard,7151321.0,209537,Worldwide!,en,3
1101,Carol Marrs Phipps,184127.0,1158562,US,en,3
1102,White Field Farm,26.0,51,"Clarksville, MO",en,3
1103,Adam B.omb,2213.0,202854,"Las Vegas, NV, USA, NA, Earth",en,3
1104,Ethan Miller 🔥,1754.0,15205,301 / 202,en,3
1105,NMIC,1942.0,7507,Upper Manhattan & the Bronx,en,3
1106,Michael Stauch,71.0,372,"Detroit, MI",en,3
1107,James Pitts,292.0,7463,Georgia,en,3
1108,Mindy🦇,442.0,1996,"Savannah, Georgia",en,3
1109,WSJ. Magazine,36798.0,6191,New York,en,3
1110,Alexander,1345.0,74282,Toronto,en,3
1111,Amy Smith,6102.0,165061,Texas,en,3
1112,~0~ #VoteBlueToSaveAmerica,9300.0,612272,"California, USA",en,3
1113,சக்கரவர்த்தி 👑,58.0,3160,Vidyaranyapura ,en,3
1114,Isabel Bellido,2158.0,17463,"Málaga, España",es,3
1115,카일보고싶다봇,97.0,43807,South Korea,en,3
1116,Sharrlize,19.0,152,New York,en,3
1117,Scarlet Fish Slapped Devin Nunes 🌹⛤☕🍷#Warren2020,2382.0,30063,"Boston, MA",en,3
1118,bella 🎃 #IBelieveHim #BatFleck🦇🖤,238.0,4321,Hungary,en,3
1119,Alex Sayf Cummings🌹,2837.0,29521,"Atlanta, GA",en,3
1120,Mian Ammar,203.0,810,"Lahore, Pakistan",en,3
1121,Charles Yallowitz,22051.0,276493,"East Meadow, NY",en,3
1122,KerryWard,7577.0,64583,UK,en,3
1123,felicia the critic,3432.0,102080,Mannahatta,en,3
1124,MichaelMasley,4423.0,36952,"Berkeley, CA",en,3
1125,Ladiesfashionstore,1058.0,5933,Johannesburg. New York. Havana,en,3
1126,Just Someone,383.0,8509,"Chennai, Tamil Nadu.",en,3
1127,Penn Arts & Sciences,5252.0,6782,"Philadelphia, PA",en,3
1128,Sandeep K Bhati,1066.0,221833,GGN,en,3
1129,Author Rebecca MacCeile,529.0,1052,United States,en,3
1130,Para Dyme,373.0,37649,The Earth is My Turf...,en,3
1131,Samantha Corbin,1414.0,10611,"Sacramento, CA",en,3
1132,Ary Irigoyen,452.0,32148,BADLANDS,en,3
1133,Ellery Woke,813.0,198541,"Not Russia, USA",en,3
1134,Elektra2018🇺🇸🤘,4780.0,28829,USA,en,3
1135,#HealTheWorld,1928.0,61531,"Amsterdam, Nederland",en,3
1136,Little Mac,736.0,106695,Parts Unknown,en,3
1137,Julie,221.0,12121,NYC,en,3
1138,Lexy Montana 🇦🇺🇺🇸,1332.0,28838,"Central Coast, Australia",en,3
1139,#HealMeToo Festival,51.0,117,"New York, NY",en,3
1140,Bubba Nek Scraw,1144.0,954,The South,en,3
1141,#MensCommission_OR_NOTAforLS2019,1357.0,25231,India,en,3
1142,Phil Revard,787.0,32122,Michigan,en,3
1143,Kevin,670.0,21184,United States,en,3
1144,Andrew,56.0,1780,"New York, USA",en,3
1145,The Irishman,16335.0,1037101,"Austin area, TX",en,3
1146,Eric Schumacher,3655.0,28284,"Gilead, Iowa",en,3
1147,Emily,184.0,863,United States,en,3
1148,Angela Braden,1575.0,10898,"Florida, USA",en,3
1149,BAEGAL 배갈,106.0,65,lost,en,3
1150,Ruby Bayley-Pratt,902.0,4466,London,en,3
1151,Yahoo India,68866.0,58246,World Wide Web,en,3
1152,Marcus Messner,2886.0,5445,"Richmond, USA",en,3
1153,.,1047.0,230240,"Calabasas, CA",en,3
1154,URSULA STONE,582.0,3265,forest row,en,3
1155,Dr. Karla J. Strand,2775.0,13591,"Wisconsin, USA",en,3
1156,Venting Machine🌈,244.0,5868,"Kerala, India",en,3
1157,UrbanEntertainment,989.0,11168,Lagos,en,3
1158,Jesse S.🐦,1307.0,7298,♠️,en,3
1159,Gloria_Miller,696.0,2506,"Portsmouth, England",en,3
1160,Gourav Jena,119.0,10857,"Bhubaneshwar, India",en,3
1161,Daily Squib News,35934.0,27855,All major cities worldwide,en,3
1162,barry levine,314.0,47093,California,en,3
1163,"Michelle M. Seyler, J.D. 🏳️‍🌈",690.0,7986,Los Angeles,en,3
1164,Felicity Disco,2451.0,79204,"Nashua, NH",en,3
1165,🏳️‍🌈Hayley Harajuku 🎮,561.0,76156,the world of Harajuku ,en,3
1166,Sudhish Kamath,63604.0,42872,Mumbai,en,2
1167,ハニー(サナ)ペン❤️#Dreamday🍭,1657.0,3405,Twiceland,en,2
1168,Eliyahu V⃞∞☯︎☮︎▸▸,9294.0,370835,"Milan, Italy",en,2
1169,Roshannie Jeyachandrakanthan,22.0,341,"Toronto, Ontario",en,2
1170,Jena,304.0,7459,TX and Cali ,en,2
1171,Roderick Saxey,108.0,24570,"Washington, USA",en,2
1172,🦋✏✨,278.0,37289,❤California,en,2
1173,Dr Chris Ugwu,1412.0,32992,"Enugu, Nigeria",en,2
1174,Patty Sands,615.0,28259,"Hawaii, USA",en,2
1175,KABIR KHAN WARRIOR,870.0,25144,bas bhaad mai jaa tu😀,en,2
1176,5WHYZ Blogzine,11018.0,27111,"South East, England",en,2
1177,Dor Ecarg,125.0,5659,"Nebraska, USA",en,2
1178,Life at the Kids Table,485.0,20095,United States,en,2
1179,Winter Texan,9147.0,226638,"Washington, USA & winter in TX",en,2
1180,I'M THE ONLY #CAFFREY,275.0,10157,I HAVE BEEN&AM THE ONLY VICTIM,en,2
1181,Martin Wiles,2401.0,42146,United States,en,2
1182,🙏🏽🖖🏼✌🏽🌈💞For The People,4136.0,172675,"San Diego, CA",en,2
1183,Jakir Shaikh,245.0,26156,jogeshwari west ,en,2
1184,UN Women Nordic,966.0,526,"Copenhagen, Denmark",en,2
1185,Dr Bec Szabo,1805.0,21100,"Melbourne, Australia",en,2
1186,México Democrático ©️,2544.0,722,Mexico city,es,2
1187,Tina Casillas,124.0,16788,Tx,en,2
1188,Music Promotion,3825.0,10699,United States,en,2
1189,abilash,51.0,578,Coimbatore,en,2
1190,SaBi NuKi,3.0,183,Malta,en,2
1191,Animated Women UK Education,117.0,120,United Kingdom,en,2
1192,Belinda Lorenzana 💚,1830.0,18087,"Guadalajara, Jalisco",es,2
1193,Javed Khan,381.0,99580,"Navi Mumbai, India",en,2
1194,Femestella,741.0,18630,"New York, NY",en,2
1195,T-REX🇺🇸🇱🇹🇵🇱🇸🇰,5167.0,10192,"Florida, USA",en,2
1196,jgl61,604.0,30161,Northern California,en,2
1197,Amanda Smith,5501.0,168995,"New Mexico, USA",en,2
1198,Dr Lou Lou,4893.0,18554,away with the fairies!,en,2
1199,Bill Periman#FeedTheGITMO,34536.0,351498,Texas,en,2
1200,jagoroniya.com,134.0,9093,"Dhaka, Bangladesh",en,2
1201,Hira Azmat,3436.0,32639,"lahore, pakistan.",en,2
1202,Womenite,959.0,6394,India,en,2
1203,Parvati,105.0,2261,Belgium,en,2
1204,Rebecca Ann Walker,24.0,1934,Planet Earth,en,2
1205,Elfin Rony,566.0,86747,"Dhaka, Bangladesh",en,2
1206,Akshay Sawant,289.0,13837,Mumbai,en,2
1207,Stéphanie🥑,268.0,6507,"Paris, France",fr,2
1208,shahbaz,77.0,13432,"Kolkata, India",en,2
1209,Bizma Gul,406.0,22751,"Karachi, Pakistan",en,2
1210,Dr. Kate Antonova,4878.0,39199,"New York, NY",en,2
1211,CarbonNeutral,146.0,4912,NYC,en,2
1212,Dior in real life.,346.0,12282,South Africa,en,2
1213,Rebooted,6365.0,121217,"Sydney, New South Wales",en,2
1214,Anima Anandkumar,16577.0,2917,"Santa Clara, CA",en,2
1215,Prigith Joseph,2695.0,30500,"India, Working in UAE.",en,2
1216,Shopping Babe,3.0,9,"Bengaluru South, India",en,2
1217,WXN,12158.0,11407,Canada,en,2
1218,sal craco,997.0,27664,"warren,nj",en,2
1219,A. Jay Wasserman,68.0,3107,"Potomac, MD",en,2
1220,Zennie Abraham,123555.0,794130,"Oakland, CA | Oakland Vlogger",en,2
1221,Vet Still Serving,936.0,54670,Cosmos 782,en,2
1222,dez,21.0,324,Nevada,en,2
1223,National Crittenton,1276.0,2390,"Portland, Oregon",en,2
1224,Maggie Lewis 陸梅吉,2628.0,2330,"New Jersey, USA",en,2
1225,Stephanie Boland,12210.0,6237,South of the river,en,2
1226,WGAR News👣 #AboriginalRights AltMediaMonitor,6870.0,285731,Australia,en,2
1227,Bobby Brooks,154.0,42102,Texas,en,2
1228,sharon,6909.0,80753,Arizona,en,2
1229,OR Media,705.0,1257,UO SOJC,en,2
1230,Gong Man,116.0,2677,Somewhere,en,2
1231,MToto News,2825.0,27709,"Africo, Calabria",en,2
1232,Entrackr,982.0,4764,"Gurgaon, India",en,2
1233,Stereo Stickman,37165.0,6919,THE WORLD,en,2
1234,Robert Mark Blood,1115.0,12231,"Loves Park, IL",en,2
1235,cyn_city,1468.0,615492,United States,en,2
1236,Elizabeth Smith,1107.0,6268,Gadigal land,en,2
1237,The Atlantic,1769402.0,161785,"Washington, D.C.",en,2
1238,Nitish Shekhar,4837.0,236295,"New Delhi, India",en,2
1239,Darkbrown,446.0,4136,midwest,en,2
1240,Pronit Biswas,266.0,36026,"Kolkata, India",en,2
1241,Sohini Bhattacharya,942.0,1304,India,en,2
1242,@tw*tter are you going to ban the nazis or what🤔,391.0,35712,"seattle, generally",en,2
1243,Tamerra Griffin,7513.0,26046,"Nairobi, Kenya",en,2
1244,swatz,709.0,32492,mother earth,en,2
1245,Olivia Messer 💀,21976.0,47290,"Brooklyn, NY",en,2
1246,Suneeta Kar Dhar,701.0,2546,"New Delhi, India",en,2
1247,Gran Bazar Hub News,196.0,11478,U.S.A.,en,2
1248,praveen sridhar,26.0,1806,"Chennai, India",en,2
1249,Mehmet Murat ildan,12990.0,20414,"Ankara, Turkey",en,2
1250,Anna G #EnoughIsEnough! #FinishTheWall,6834.0,80415,"Montana, USA",en,2
1251,HEDGE energy,7849.0,208615,ask why?,en,2
1252,Dave Herculon,5584.0,124355,Gods Green Earth,en,2
1253,Arun Mysore,10654.0,107799,India,en,2
1254,Yugendran,62.0,1751,"Petaling Jaya, Selangor",en,2
1255,|Trending🍿Talks™|,5504.0,32377,Cinema which we live to see! ,en,2
1256,Pharaoh's Pops,465.0,68839,"The Throne, Kemit",en,2
1257,True💙Blue💙Liberal,3389.0,53121,LEFT HERE ,en,2
1258,Jenny Rogers,3857.0,20284,Washington D.C.,en,2
1259,Karthik Thangavel,97.0,7011,kuwait,en,2
1260,🇵🇷L.A.Falú🌈,2950.0,74174,NuyoRican planted in South NJ,en,2
